country,income
Abkhazia,
Afghanistan,
Akrotiri and Dhekelia,
Albania,1594.495067
Algeria,2124.957754
American Samoa,
Andorra,21595.39548
Angola,473.1363435
Anguilla,
Antigua and Barbuda,12452.28204
Argentina,8717.176296
Armenia,1253.8133
Aruba,
Australia,24295.08138
Austria,26171.69091
Azerbaijan,1573.64218
Bahamas,21728.70888
Bahrain,14082.9146
Bangladesh,459.8625139
Barbados,9757.443433
Belarus,2067.609425
Belgium,24512.41314
Belize,3754.122862
Benin,360.6554107
Bermuda,65430.60131
Bhutan,1017.718731
Bolivia,1101.038461
Bosnia and Herzegovina,1969.482738
Botswana,4025.39536
Brazil,4090.555803
British Virgin Islands,
Brunei,18745.80477
Bulgaria,2332.363131
Burkina Faso,261.4805054
Burundi,131.1716587
Cambodia,468.031827
Cameroon,640.7628163
Canada,25943.73602
Cape Verde,1613.584414
Cayman Islands,
Central African Republic,223.0974528
Chad,299.8800932
Channel Islands,42994.34591
Chile,6190.109402
China,1640.861518
Christmas Island,
Cocos Island,
Colombia,2913.479828
Comoros,354.8387555
"Congo, Dem. Rep.",94.76973518
"Congo, Rep.",1150.392879
Cook Is,
Costa Rica,4836.674305
Cote d'Ivoire,572.2971337
Croatia,6325.674267
Cuba,3884.798515
Cyprus,14719.25766
Czech Republic,7488.669018
Czechoslovakia,
Denmark,32400.06061
Djibouti,811.9017619
Dominica,5290.613602
Dominican Republic,3360.408656
East Germany,
Ecuador,1610.967343
Egypt,1678.954796
El Salvador,2523.523599
Equatorial Guinea,6774.478148
Eritrea,170.8777406
Eritrea and Ethiopia,
Estonia,6570.330139
Ethiopia,161.5928951
Faeroe Islands,
Falkland Is (Malvinas),
Fiji,2335.321253
Finland,27495.24136
France,23133.35113
French Guiana,
French Polynesia,
Gabon,3999.642216
Gambia,593.5751773
Georgia,1083.08988
Germany,24463.84647
Ghana,305.7511071
Gibraltar,
Greece,14352.83954
Greenland,20556.63474
Grenada,6102.639132
Guadeloupe,
Guam,
Guatemala,1810.295335
Guernsey,
Guinea,388.163132
Guinea-Bissau,154.2631682
Guyana,1037.127543
Haiti,384.5855208
Holy See,
Honduras,1354.497039
"Hong Kong, China",32952.71213
Hungary,5868.3017
Iceland,36952.19207
India,621.8994139
Indonesia,953.9355312
Iran,1994.647193
Iraq,710.2087191
Ireland,30669.37259
Isle of Man,27612.48388
Israel,20715.56805
Italy,20102.23023
Jamaica,
Japan,39965.85551
Jersey,
Jordan,2250.274213
Kazakhstan,2166.323302
Kenya,442.0213127
Kiribati,769.2194408
North Korea,
South Korea,14446.3586
"United Korea (former)
",
Kosovo,1614.51344
Kuwait,25034.0479
Kyrgyz Republic,325.8628655
Lao,435.6645778
Latvia,5695.361455
Lebanon,5103.490175
Lesotho,430.3513273
Liberia,196.9509939
Libya,7458.766454
Liechtenstein,80275.88488
Lithuania,5287.136551
Luxembourg,53628.23455
"Macao, China",24595.65317
"Macedonia, FYR",1993.12215
Madagascar,247.3222293
Malawi,148.2569961
Malaysia,4695.229726
Maldives,3209.469325
Mali,255.1821602
Malta,10405.84596
Marshall Islands,2404.736431
Martinique,
Mauritania,616.1063541
Mauritius,4419.912257
Mayotte,
Mexico,6211.927234
"Micronesia, Fed. Sts.",2185.269074
Moldova,530.0947081
Monaco,85942.67113
Mongolia,653.8074697
Montenegro,1958.154415
Montserrat,
Morocco,1632.1342
Mozambique,323.7736997
Myanmar,
Namibia,2512.927204
Nauru,
Nepal,241.0469797
Netherlands,26007.67914
Netherlands Antilles,
New Caledonia,
New Zealand,15103.23038
Ngorno-Karabakh,
Nicaragua,1130.956438
Niger,171.7644805
Nigeria,458.6349173
Niue,
Norfolk Island,
Northern Cyprus,
Northern Mariana Islands,
Norway,41245.80863
Oman,10006.30307
Pakistan,620.2956378
Palau,6587.7246
Panama,4726.880151
Papua New Guinea,627.1163523
Paraguay,1352.975654
Peru,2529.840728
Philippines,1225.045039
Pitcairn,
Poland,5552.50127
Portugal,11716.00896
Puerto Rico,18053.78721
Qatar,32070.9591
Reunion,
Romania,2444.048428
Russia,2654.200194
Rwanda,291.0580268
St. Barthélemy,
St. Helena,
St. Kitts and Nevis,10607.8774
St. Lucia,5315.874333
St. Martin,
St. Vincent and the Grenadines,4872.784507
St.-Pierre-et-Miquelon,
Samoa,1771.581102
San Marino,30808.27931
Sao Tome and Principe,
Saudi Arabia,9440.180027
Senegal,539.4896428
Serbia,1102.68089
Serbia and Montenegro,
Serbia excluding Kosovo,
Seychelles,7721.541646
Sierra Leone,242.8925156
Singapore,29925.50494
Slovak Republic,7334.109759
Slovenia,12588.10838
Solomon Islands,1014.873466
Somalia,
Somaliland,
South Africa,3548.09031
South Ossetia,
Spain,16074.46178
Sri Lanka,1075.625538
Sudan,464.1288726
Suriname,2422.818519
Svalbard,
Swaziland,1715.684609
Sweden,32431.9404
Switzerland,37877.18249
Syria,1368.930491
Taiwan,
Tajikistan,180.0892749
Tanzania,394.224159
Thailand,2458.517431
Timor-Leste,299.8856849
Togo,257.4007154
Tokelau,
Tonga,2067.535705
Transnistria,
Trinidad and Tobago,10264.67428
Tunisia,2776.257059
Turkey,5154.661097
Turkmenistan,860.7116809
Turks and Caicos Islands,
Tuvalu,1457.394721
Uganda,323.0773993
Ukraine,1037.312259
United Arab Emirates,31929.79817
United Kingdom,28913.09629
United States,38349.39879
Uruguay,7233.906191
USSR,
Uzbekistan,725.3469456
Wallis et Futuna,
Vanuatu,1418.075283
Venezuela,5401.421719
West Bank and Gaza,
West Germany,
Western Sahara,
Vietnam,581.5782774
Virgin Islands (U.S.),
North Yemen (former),
South Yemen (former),
Yemen,573.8957089
Yugoslavia,
Zambia,372.0836755
Zimbabwe,351.1720467
Åland,
South Sudan,
Christian,
Coastline,
Curaçao,
Sint Maarten (Dutch part),
St. Martin (French part),
Antarctica,
"Virgin Islands, British",
Hawaiian Trade Zone,
U.S. Pacific Islands,
Wake Island,
Bonaire,
Sark,
Chinese Taipei,
Saint Eustatius,
Saba,
