country,agr
Algeria,
American Samoa,
Anguilla,
Antigua and Barbuda,
Argentina,0.300000012
Armenia,46.09999847
Aruba,
Australia,2.400000095
Austria,5.699999809
Azerbaijan,36.70000076
Bahamas,0.5
Bahrain,
Bangladesh,
Barbados,
Belgium,1.299999952
Belize,
Bermuda,
Bhutan,
Bolivia,
Botswana,
Brazil,15
British Virgin Islands,
Brunei,
Bulgaria,6.099999905
Cambodia,
Cameroon,
Canada,1.5
Cayman Islands,1
Chad,
Chile,5.800000191
Colombia,6.699999809
Costa Rica,4.400000095
Croatia,14.89999962
Cuba,9.399999619
Cyprus,2.900000095
Czech Rep.,2.799999952
Denmark,1.5
Dominica,
Dominican Rep.,
Ecuador,4.300000191
Egypt,43.29999924
El Salvador,4.800000191
Equatorial Guinea,
Estonia,3.200000048
Ethiopia,5.5
Faeroe Islands,
Finland,2.799999952
France,2.200000048
Gabon,
Gambia,
Georgia,57.40000153
Germany,1.600000024
East Germany,
Ghana,
Greece,13.19999981
Grenada,
Guatemala,19.10000038
Guinea,
Guyana,
Haiti,
Honduras,
"Hong Kong, China",0.200000003
Hungary,2.700000048
Iceland,2.599999905
Indonesia,44.59999847
Iran,
Iraq,
Ireland,1.299999952
Isle of Man,0.699999988
Israel,0.600000024
Italy,3.299999952
Jamaica,8.300000191
Japan,4.300000191
Jordan,
Kazakhstan,
Kiribati,
"Korea, Rep.",8.600000381
Kuwait,
Kyrgyzstan,35.40000153
Laos,
Latvia,7.900000095
Lesotho,
Lithuania,10.19999981
Luxembourg,
"Macao, China",0.200000003
Madagascar,
Malaysia,10
Maldives,7.099999905
Mali,
Malta,0.200000003
Marshall Islands,
Martinique,
Mauritius,8.100000381
Mexico,4.599999905
Mongolia,
Montenegro,
Montserrat,
Morocco,61.29999924
Namibia,
Nepal,
Netherlands,
Netherlands Antilles,
New Caledonia,
New Zealand,5.099999905
Nicaragua,8.399999619
Nigeria,
Niue,
Northern Mariana Islands,
Norway,1.399999976
Oman,
Pakistan,
Panama,4.5
Paraguay,
Peru,7.599999905
Philippines,24.39999962
Poland,15
Portugal,12.39999962
Puerto Rico,0.400000006
Qatar,0
Moldova,31.89999962
Romania,31.39999962
Russia,7.800000191
Rwanda,
Saint Kitts and Nevis,
Saint Lucia,
Saint Vincent and the Grenadines,
San Marino,0.300000012
Sao Tome and Principe,
Saudi Arabia,0.400000006
Senegal,33
Serbia,19.20000076
Sierra Leone,
Singapore,0.800000012
Slovak Republic,2.400000095
Slovenia,9.199999809
South Africa,7.800000191
Spain,3.299999952
Sri Lanka,37.90000153
Saint Helena,
Suriname,
Sweden,0.899999976
Switzerland,2.700000048
Syria,
Tajikistan,
Tanzania,80
Thailand,40.5
"Macedonia, FYR",20.29999924
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,48.5
Uganda,
United Arab Emirates,
United Kingdom,0.600000024
United States,0.800000012
Uruguay,5.199999809
Venezuela,1.799999952
Vietnam,
West Bank and Gaza,34.29999924
"Yemen, Rep.",
Zambia,
Zimbabwe,
