country,region
Algeria,Africa
Angola,Africa
Benin,Africa
Botswana,Africa
Burkina Faso,Africa
Burundi,Africa
Cabo Verde,Africa
Cameroon,Africa
Central African Republic,Africa
Chad,Africa
Comoros,Africa
Congo,Africa
Côte d'Ivoire,Africa
Democratic Republic of the Congo,Africa
Djibouti,Africa
Egypt,Africa
Equatorial Guinea,Africa
Eritrea,Africa
Ethiopia,Africa
Gabon,Africa
Gambia,Africa
Ghana,Africa
Guinea,Africa
Guinea-Bissau,Africa
Kenya,Africa
Lesotho,Africa
Liberia,Africa
Libya,Africa
Madagascar,Africa
Malawi,Africa
Mali,Africa
Mauritania,Africa
Mauritius,Africa
Morocco,Africa
Mozambique,Africa
Namibia,Africa
Niger,Africa
Nigeria,Africa
Rwanda,Africa
São Tomé and Príncipe,Africa
Senegal,Africa
Seychelles,Africa
Sierra Leone,Africa
Somalia,Africa
South Africa,Africa
South Sudan,Africa
Sudan,Africa
Swaziland,Africa
Togo,Africa
Tunisia,Africa
Uganda,Africa
United Republic of Tanzania,Africa
Zambia,Africa
Zimbabwe,Africa
Afghanistan,Asia-Pacific
Bahrain,Asia-Pacific
Bangladesh,Asia-Pacific
Bhutan,Asia-Pacific
Brunei Darussalam,Asia-Pacific
Cambodia,Asia-Pacific
China,Asia-Pacific
Cyprus,Asia-Pacific
Fiji,Asia-Pacific
India,Asia-Pacific
Indonesia,Asia-Pacific
Iran,Asia-Pacific
Iraq,Asia-Pacific
Japan,Asia-Pacific
Jordan,Asia-Pacific
Kazakhstan,Asia-Pacific
Kuwait,Asia-Pacific
Kyrgyzstan,Asia-Pacific
Laos,Asia-Pacific
Lebanon,Asia-Pacific
Malaysia,Asia-Pacific
Maldives,Asia-Pacific
Marshall Islands,Asia-Pacific
Micronesia,Asia-Pacific
Mongolia,Asia-Pacific
Myanmar,Asia-Pacific
Nauru,Asia-Pacific
Nepal,Asia-Pacific
North Korea,Asia-Pacific
Oman,Asia-Pacific
Pakistan,Asia-Pacific
Palau,Asia-Pacific
Papua New Guinea,Asia-Pacific
Philippines,Asia-Pacific
Qatar,Asia-Pacific
Samoa,Asia-Pacific
Saudi Arabia,Asia-Pacific
Singapore,Asia-Pacific
Solomon Islands,Asia-Pacific
South Korea,Asia-Pacific
Sri Lanka,Asia-Pacific
Syrian Arab Republic,Asia-Pacific
Tajikistan,Asia-Pacific
Thailand,Asia-Pacific
Timor-Leste,Asia-Pacific
Tonga,Asia-Pacific
Turkmenistan,Asia-Pacific
Tuvalu,Asia-Pacific
United Arab Emirates,Asia-Pacific
Uzbekistan,Asia-Pacific
Vanuatu,Asia-Pacific
Vietnam,Asia-Pacific
Yemen,Asia-Pacific
Albania,Eastern Europe
Armenia,Eastern Europe
Azerbaijan,Eastern Europe
Belarus,Eastern Europe
Bosnia and Herzegovina,Eastern Europe
Bulgaria,Eastern Europe
Croatia,Eastern Europe
Czech Republic,Eastern Europe
Estonia,Eastern Europe
Georgia,Eastern Europe
Hungary,Eastern Europe
Latvia,Eastern Europe
Lithuania,Eastern Europe
Macedonia,Eastern Europe
Moldova,Eastern Europe
Montenegro,Eastern Europe
Poland,Eastern Europe
Romania,Eastern Europe
Russia,Eastern Europe
Serbia,Eastern Europe
Slovakia,Eastern Europe
Slovenia,Eastern Europe
Ukraine,Eastern Europe
Antigua and Barbuda,Latin America and Caribbean
Argentina,Latin America and Caribbean
Bahamas,Latin America and Caribbean
Barbados,Latin America and Caribbean
Belize,Latin America and Caribbean
Bolivia,Latin America and Caribbean
Brazil,Latin America and Caribbean
Chile,Latin America and Caribbean
Colombia,Latin America and Caribbean
Costa Rica,Latin America and Caribbean
Cuba,Latin America and Caribbean
Dominica,Latin America and Caribbean
Dominican Republic,Latin America and Caribbean
Ecuador,Latin America and Caribbean
El Salvador,Latin America and Caribbean
Grenada,Latin America and Caribbean
Guatemala,Latin America and Caribbean
Guyana,Latin America and Caribbean
Haiti,Latin America and Caribbean
Honduras,Latin America and Caribbean
Jamaica,Latin America and Caribbean
Mexico,Latin America and Caribbean
Nicaragua,Latin America and Caribbean
Panama,Latin America and Caribbean
Paraguay,Latin America and Caribbean
Peru,Latin America and Caribbean
Saint Kitts and Nevis,Latin America and Caribbean
Saint Lucia,Latin America and Caribbean
Saint Vincent and the Grenadines,Latin America and Caribbean
Suriname,Latin America and Caribbean
Trinidad and Tobago,Latin America and Caribbean
Uruguay,Latin America and Caribbean
Venezuela,Latin America and Caribbean
Andorra,Western Europe and Other
Australia,Western Europe and Other
Austria,Western Europe and Other
Belgium,Western Europe and Other
Canada,Western Europe and Other
Denmark,Western Europe and Other
Finland,Western Europe and Other
France,Western Europe and Other
Germany,Western Europe and Other
Greece,Western Europe and Other
Iceland,Western Europe and Other
Ireland,Western Europe and Other
Israel,Western Europe and Other
Italy,Western Europe and Other
Liechtenstein,Western Europe and Other
Luxembourg,Western Europe and Other
Malta,Western Europe and Other
Monaco,Western Europe and Other
Netherlands,Western Europe and Other
New Zealand,Western Europe and Other
Norway,Western Europe and Other
Portugal,Western Europe and Other
San Marino,Western Europe and Other
Spain,Western Europe and Other
Sweden,Western Europe and Other
Switzerland,Western Europe and Other
Turkey,Western Europe and Other
United Kingdom,Western Europe and Other
United States,Western Europe and Other
