country,ind
Algeria,
American Samoa,
Anguilla,
Antigua and Barbuda,
Argentina,10.89999962
Armenia,9.5
Aruba,
Australia,9.100000381
Austria,13.39999962
Azerbaijan,9
Bahamas,5.199999809
Bahrain,
Bangladesh,
Barbados,
Belgium,10.80000019
Belize,
Bermuda,
Bhutan,
Bolivia,
Botswana,
Brazil,13
British Virgin Islands,
Brunei,
Bulgaria,28.10000038
Cambodia,
Cameroon,
Canada,10.89999962
Cayman Islands,3.599999905
Chad,
Chile,11.30000019
Colombia,15.80000019
Costa Rica,12.80000019
Croatia,17.79999924
Cuba,12.80000019
Cyprus,10.19999981
Czech Rep.,27
Denmark,11.80000019
Dominica,
Dominican Rep.,
Ecuador,12.60000038
Egypt,6
El Salvador,19
Equatorial Guinea,
Estonia,21.5
Ethiopia,17.39999962
Faeroe Islands,
Finland,11.89999962
France,11.69999981
Gabon,
Gambia,
Georgia,3.900000095
Germany,16.10000038
East Germany,
Ghana,
Greece,9.699999809
Grenada,
Guatemala,24.60000038
Guinea,
Guyana,
Haiti,
Honduras,
"Hong Kong, China",6.300000191
Hungary,21.10000038
Iceland,9
Indonesia,15
Iran,
Iraq,
Ireland,11.30000019
Isle of Man,3.900000095
Israel,10.19999981
Italy,16.79999924
Jamaica,4.599999905
Japan,17.70000076
Jordan,
Kazakhstan,
Kiribati,
"Korea, Rep.",16
Kuwait,
Kyrgyzstan,10.69999981
Laos,
Latvia,16.39999962
Lesotho,
Lithuania,19.5
Luxembourg,
"Macao, China",18.10000038
Madagascar,
Malaysia,24.70000076
Maldives,31.79999924
Mali,
Malta,14.80000019
Marshall Islands,
Martinique,
Mauritius,27.29999924
Mexico,19
Mongolia,
Montenegro,
Montserrat,
Morocco,14.5
Namibia,
Nepal,
Netherlands,
Netherlands Antilles,
New Caledonia,
New Zealand,10.5
Nicaragua,17.79999924
Nigeria,
Niue,
Northern Mariana Islands,
Norway,7.900000095
Oman,
Pakistan,
Panama,8.800000191
Paraguay,
Peru,42.90000153
Philippines,11.30000019
Poland,17.5
Portugal,18.79999924
Puerto Rico,11.30000019
Qatar,3.900000095
Moldova,12.39999962
Romania,25.29999924
Russia,20.70000076
Rwanda,
Saint Kitts and Nevis,
Saint Lucia,
Saint Vincent and the Grenadines,
San Marino,23.29999924
Sao Tome and Principe,
Saudi Arabia,1
Senegal,4.900000095
Serbia,18.70000076
Sierra Leone,
Singapore,16.79999924
Slovak Republic,24.79999924
Slovenia,23.39999962
South Africa,13.69999981
Spain,11.60000038
Sri Lanka,0.800000012
Saint Helena,
Suriname,
Sweden,9.300000191
Switzerland,12
Syria,
Tajikistan,
Tanzania,2.099999905
Thailand,19
"Macedonia, FYR",29.29999924
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,15
Uganda,
United Arab Emirates,
United Kingdom,9.600000381
United States,9.399999619
Uruguay,12.5
Venezuela,11.39999962
Vietnam,
West Bank and Gaza,8.800000191
"Yemen, Rep.",
Zambia,
Zimbabwe,
,
