country,income,employ_above_15,agr,ind,ser,education,region,log_income,log_agr
Afghanistan,,26.20000076,,,,0.3,Asia-Pacific,,
Albania,1594.495067,41.90000153,,,,8.9,Eastern Europe,7.374312392685527,
Algeria,2124.957754,30.5,,,,3.8,Africa,7.66150720069031,
Andorra,21595.39548,,,,,11.6,Western Europe and Other,9.980235398725606,
Angola,473.1363435,69.19999695,,,,2.5,Africa,6.159383599597828,
Antigua and Barbuda,12452.28204,,,,,11.9,Latin America and Caribbean,9.429659181481666,
Argentina,8717.176296,45.79999924,0.300000012,10.89999962,88.5,9.8,Latin America and Caribbean,9.07305064519619,-1.2039727643259368
Armenia,1253.8133,33.70000076,46.09999847,9.5,44.5,11.0,Eastern Europe,7.133944826536039,3.830812916813882
Australia,24295.08138,54.59999847,2.400000095,9.100000381,88.19999695,11.3,Western Europe and Other,10.098029196494817,0.8754687769372326
Austria,26171.69091,49.40000153,5.699999809,13.39999962,80.90000153,10.7,Western Europe and Other,10.172433605970326,1.740466141331732
Azerbaijan,1573.64218,54.79999924,36.70000076,9.0,54.29999924,10.9,Eastern Europe,7.361148071494458,3.6027767757689713
Bahamas,21728.70888,61.20000076,0.5,5.199999809,94.19999695,10.5,Latin America and Caribbean,9.986389655010328,-0.6931471805599453
Bahrain,14082.9146,29.79999924,,,,7.2,Asia-Pacific,9.552717611130811,
Bangladesh,459.8625139,53.29999924,,,,2.4,Asia-Pacific,6.13092756198268,
Barbados,9757.443433,60.09999847,,,,,Latin America and Caribbean,9.185785701753826,
Belarus,2067.609425,49.0,,,,11.4,Eastern Europe,7.634148351736722,
Belgium,24512.41314,41.20000076,1.299999952,10.80000019,87.40000153,11.6,Western Europe and Other,10.106934927000108,0.2623642275444135
Belize,3754.122862,39.29999924,,,,8.0,Latin America and Caribbean,8.230609944900719,
Benin,360.6554107,57.79999924,,,,1.4,Africa,5.8879229614712765,
Bermuda,65430.60131,,,,,,non-UN,11.088745337948408,
Bhutan,1017.718731,38.09999847,,,,,Asia-Pacific,6.925318863255986,
Bolivia,1101.038461,62.20000076,,,,6.3,Latin America and Caribbean,7.004009068900919,
Bosnia and Herzegovina,1969.482738,34.90000153,,,,7.0,Eastern Europe,7.585526217711469,
Botswana,4025.39536,38.70000076,,,,5.4,Africa,8.300378411115753,
Brazil,4090.555803,52.09999847,15.0,13.0,71.90000153,6.7,Latin America and Caribbean,8.316436132958243,2.70805020110221
Brunei,18745.80477,54.90000153,,,,,Asia-Pacific,9.838725260763775,
Bulgaria,2332.363131,42.79999924,6.099999905,28.10000038,65.80000305,11.7,Eastern Europe,7.754637251900134,1.808288755605495
Burkina Faso,261.4805054,75.69999695,,,,0.7,Africa,5.5663597315864735,
Burundi,131.1716587,83.40000153,,,,1.8,Africa,4.876506837169073,
Cambodia,468.031827,73.40000153,,,,2.8,Asia-Pacific,6.148536300015572,
Cameroon,640.7628163,49.40000153,,,,3.8,Africa,6.462659367073015,
Canada,25943.73602,57.5,1.5,10.89999962,87.59999847,14.0,Western Europe and Other,10.163685472943097,0.4054651081081644
Cape Verde,1613.584414,42.40000153,,,,3.1,Africa,7.386213327446104,
Cayman Islands,,,1.0,3.599999905,95.5,,non-UN,,0.0
Central African Rep.,,63.09999847,,,,1.9,Africa,6.437729182185081,
Central African Republic,223.0974528,52.77826068695652,,,,,Africa,5.407608684071651,
Chad,299.8800932,66.59999847,,,,0.6,Africa,5.703382705425796,
