country,income,employ_above_15,agr,ind,ser,education,region
Afghanistan,,26.20000076,,,,0.3,Asia-Pacific
Albania,1594.495067,41.90000153,,,,8.9,Eastern Europe
Algeria,2124.957754,30.5,,,,3.8,Africa
Andorra,21595.39548,,,,,,Western Europe and Other
Angola,473.1363435,69.19999695,,,,2.5,Africa
Antigua and Barbuda,12452.28204,,,,,11.9,Latin America and Caribbean
Argentina,8717.176296,45.79999924,0.300000012,10.89999962,88.5,9.8,Latin America and Caribbean
Armenia,1253.8133,33.70000076,46.09999847,9.5,44.5,11.0,Eastern Europe
Australia,24295.08138,54.59999847,2.400000095,9.100000381,88.19999695,11.3,Western Europe and Other
Austria,26171.69091,49.40000153,5.699999809,13.39999962,80.90000153,10.7,Western Europe and Other
Azerbaijan,1573.64218,54.79999924,36.70000076,9.0,54.29999924,10.9,Eastern Europe
Bahamas,21728.70888,61.20000076,0.5,5.199999809,94.19999695,10.5,Latin America and Caribbean
Bahrain,14082.9146,29.79999924,,,,7.2,Asia-Pacific
Bangladesh,459.8625139,53.29999924,,,,2.4,Asia-Pacific
Barbados,9757.443433,60.09999847,,,,,Latin America and Caribbean
Belarus,2067.609425,49.0,,,,11.4,Eastern Europe
Belgium,24512.41314,41.20000076,1.299999952,10.80000019,87.40000153,11.6,Western Europe and Other
Belize,3754.122862,39.29999924,,,,8.0,Latin America and Caribbean
Benin,360.6554107,57.79999924,,,,1.4,Africa
Bermuda,65430.60131,,,,,,non-UN
Bhutan,1017.718731,38.09999847,,,,,Asia-Pacific
Bolivia,1101.038461,62.20000076,,,,6.3,Latin America and Caribbean
Bosnia and Herzegovina,1969.482738,34.90000153,,,,7.0,Eastern Europe
Botswana,4025.39536,38.70000076,,,,5.4,Africa
Brazil,4090.555803,52.09999847,15.0,13.0,71.90000153,6.7,Latin America and Caribbean
Brunei,18745.80477,54.90000153,,,,,Asia-Pacific
Bulgaria,2332.363131,42.79999924,6.099999905,28.10000038,65.80000305,11.7,Eastern Europe
Burkina Faso,261.4805054,75.69999695,,,,0.7,Africa
Burundi,131.1716587,83.40000153,,,,1.8,Africa
Cambodia,468.031827,73.40000153,,,,2.8,Asia-Pacific
Cameroon,640.7628163,49.40000153,,,,3.8,Africa
Canada,25943.73602,57.5,1.5,10.89999962,87.59999847,14.0,Western Europe and Other
Cape Verde,1613.584414,42.40000153,,,,3.1,Africa
Cayman Islands,,,1.0,3.599999905,95.5,,non-UN
Central African Republic,223.0974528,,,,,,Africa
Chad,299.8800932,66.59999847,,,,0.6,Africa
Channel Islands,42994.34591,,,,,,
Chile,6190.109402,37.20000076,5.800000191,11.30000019,82.90000153,9.7,Latin America and Caribbean
China,1640.861518,69.09999847,,,,5.9,Asia-Pacific
Colombia,2913.479828,52.79999924,6.699999809,15.80000019,77.40000153,6.2,Latin America and Caribbean
Comoros,354.8387555,58.79999924,,,,2.0,Africa
"Congo, Dem. Rep.",94.76973518,51.0,,,,3.6,
"Congo, Rep.",1150.392879,52.59999847,,,,4.8,
Costa Rica,4836.674305,39.5,4.400000095,12.80000019,82.30000305,8.3,Latin America and Caribbean
Cote d'Ivoire,572.2971337,38.20000076,,,,1.7,
Croatia,6325.674267,38.59999847,14.89999962,17.79999924,67.09999847,10.3,Eastern Europe
Cuba,3884.798515,43.79999924,9.399999619,12.80000019,77.80000305,9.9,Latin America and Caribbean
Cyprus,14719.25766,49.90000153,2.900000095,10.19999981,86.19999695,11.4,Asia-Pacific
Czech Republic,7488.669018,,,,,,Eastern Europe
Denmark,32400.06061,58.20000076,1.5,11.80000019,86.69999695,12.6,Western Europe and Other
Djibouti,811.9017619,,,,,1.5,Africa
Dominica,5290.613602,,,,,,Latin America and Caribbean
Dominican Republic,3360.408656,,,,,,Latin America and Caribbean
Ecuador,1610.967343,45.59999847,4.300000191,12.60000038,83.0,7.7,Latin America and Caribbean
Egypt,1678.954796,17.89999962,43.29999924,6.0,50.59999847,4.9,Africa
El Salvador,2523.523599,44.29999924,4.800000191,19.0,76.19999695,6.2,Latin America and Caribbean
Equatorial Guinea,6774.478148,41.70000076,,,,4.1,Africa
Eritrea,170.8777406,52.09999847,,,,1.8,Africa
Estonia,6570.330139,51.09999847,3.200000048,21.5,75.19999695,11.4,Eastern Europe
Ethiopia,161.5928951,72.30000305,5.5,17.39999962,76.59999847,0.8,Africa
Fiji,2335.321253,37.0,,,,8.7,Asia-Pacific
Finland,27495.24136,53.0,2.799999952,11.89999962,85.19999695,12.0,Western Europe and Other
France,23133.35113,44.79999924,2.200000048,11.69999981,85.80000305,10.1,Western Europe and Other
Gabon,3999.642216,52.70000076,,,,5.2,Africa
Gambia,593.5751773,65.30000305,,,,1.7,Africa
Georgia,1083.08988,48.5,57.40000153,3.900000095,38.5,12.2,Eastern Europe
Germany,24463.84647,46.09999847,1.600000024,16.10000038,82.19999695,11.7,Western Europe and Other
Ghana,305.7511071,64.5,,,,4.8,Africa
Greece,14352.83954,37.0,13.19999981,9.699999809,77.0,9.7,Western Europe and Other
Greenland,20556.63474,,,,,,
Grenada,6102.639132,,,,,,Latin America and Caribbean
Guadeloupe,,39.0,,,,,
Guatemala,1810.295335,42.5,19.10000038,24.60000038,75.09999847,3.6,Latin America and Caribbean
Guinea,388.163132,77.69999695,,,,0.9,Africa
Guinea-Bissau,154.2631682,50.59999847,,,,1.0,Africa
Guyana,1037.127543,42.5,,,,9.0,Latin America and Caribbean
Haiti,384.5855208,34.90000153,,,,3.0,Latin America and Caribbean
Honduras,1354.497039,35.0,,,,5.4,Latin America and Caribbean
"Hong Kong, China",32952.71213,50.20000076,0.200000003,6.300000191,93.5,,
Hungary,5868.3017,40.20000076,2.700000048,21.10000038,76.19999695,10.9,Eastern Europe
Iceland,36952.19207,69.69999695,2.599999905,9.0,85.90000153,,Western Europe and Other
India,621.8994139,32.70000076,,,,3.1,Asia-Pacific
Indonesia,953.9355312,42.09999847,44.59999847,15.0,40.5,5.5,Asia-Pacific
Iran,1994.647193,26.20000076,,,,4.6,Asia-Pacific
Iraq,710.2087191,12.30000019,,,,3.3,Asia-Pacific
Ireland,30669.37259,50.20000076,1.299999952,11.30000019,87.0,11.2,Western Europe and Other
Isle of Man,27612.48388,,0.699999988,3.900000095,95.40000153,,
Israel,20715.56805,45.90000153,0.600000024,10.19999981,88.40000153,12.2,Western Europe and Other
Italy,20102.23023,34.40000153,3.299999952,16.79999924,79.90000153,9.9,Western Europe and Other
Jamaica,,49.0,8.300000191,4.599999905,86.80000305,9.9,Latin America and Caribbean
Japan,39965.85551,46.59999847,4.300000191,17.70000076,76.90000153,12.0,Asia-Pacific
Jordan,2250.274213,13.19999981,,,,7.9,Asia-Pacific
Kazakhstan,2166.323302,57.40000153,,,,11.5,Asia-Pacific
Kenya,442.0213127,66.59999847,,,,5.3,Africa
Kiribati,769.2194408,,,,,8.6,
South Korea,14446.3586,,,,,,Asia-Pacific
Kosovo,1614.51344,,,,,,
Kuwait,25034.0479,41.59999847,,,,6.4,Asia-Pacific
Kyrgyz Republic,325.8628655,,,,,,
Lao,435.6645778,,,,,,
Latvia,5695.361455,50.40000153,7.900000095,16.39999962,74.80000305,12.5,Eastern Europe
Lebanon,5103.490175,22.20000076,,,,7.8,Asia-Pacific
Lesotho,430.3513273,52.20000076,,,,7.9,Africa
Liberia,196.9509939,53.0,,,,2.0,Africa
Libya,7458.766454,22.10000038,,,,,Africa
Liechtenstein,80275.88488,,,,,,Western Europe and Other
Lithuania,5287.136551,48.09999847,10.19999981,19.5,70.30000305,12.1,Eastern Europe
Luxembourg,53628.23455,43.09999847,,,,10.7,Western Europe and Other
"Macao, China",24595.65317,57.40000153,0.200000003,18.10000038,81.69999695,,
"Macedonia, FYR",1993.12215,26.29999924,20.29999924,29.29999924,50.09999847,9.1,
Madagascar,247.3222293,81.0,,,,4.0,Africa
Malawi,148.2569961,69.19999695,,,,3.0,Africa
Malaysia,4695.229726,42.79999924,10.0,24.70000076,65.19999695,7.2,Asia-Pacific
